restaurant_id,restaurant_name,[restaurant_name],food_type,[food_type],city_name,[city_name],rating
225,dennys restaurant,dennys:::restaurant:::,american,american:::,vallejo,vallejo:::,2.0
226,jamerican cuisine,jamerican:::cuisine:::,american,american:::,vallejo,vallejo:::,2.0
227,lyons restaurant,lyons:::restaurant:::,american,american:::,vallejo,vallejo:::,2.0
228,rods hickory pit restaurant,rods:::hickory:::pit:::restaurant:::,american,american:::,vallejo,vallejo:::,2.0
229,tommys,tommys:::,american,american:::,vallejo,vallejo:::,2.0
230,western restaurant,western:::restaurant:::,american,american:::,vallejo,vallejo:::,2.0
231,abernathys restaurant,abernathys:::restaurant:::,american,american:::,walnut creek,walnut:::creek:::,2.0
232,buttercup kitchen,buttercup:::kitchen:::,american,american:::,walnut creek,walnut:::creek:::,2.3
233,copper skillet,copper:::skillet:::,american,american:::,walnut creek,walnut:::creek:::,2.0
234,crogans bar & grill,crogans:::bar:::&:::grill:::,american,american:::,walnut creek,walnut:::creek:::,2.3
235,dennys restaurant,dennys:::restaurant:::,american,american:::,walnut creek,walnut:::creek:::,2.0
236,lyons restaurant,lyons:::restaurant:::,american,american:::,walnut creek,walnut:::creek:::,1.7
237,marie callenders-walnut creek,marie:::callenders-walnut:::creek:::,american,american:::,walnut creek,walnut:::creek:::,2.0
238,vic stewarts,vic:::stewarts:::,american,american:::,walnut creek,walnut:::creek:::,2.5
239,yountville bar & grill,yountville:::bar:::&:::grill:::,american,american:::,yountville,yountville:::,2.0
240,barbary coast,barbary:::coast:::,american,american:::,san francisco,san:::francisco:::,2.8
241,california cafe,california:::cafe:::,american,american:::,los gatos,los:::gatos:::,3.6
242,hawthorne lane,hawthorne:::lane:::,american,american:::,san francisco,san:::francisco:::,4.3
243,boulevard,boulevard:::,american,american:::,san francisco,san:::francisco:::,4.0
244,tgi fridays,tgi:::fridays:::,american,american:::,oakland,oakland:::,1.5
245,gate five,gate:::five:::,american,american:::,sausalito,sausalito:::,2.8
246,cacti bar and mesquite grill,cacti:::bar:::and:::mesquite:::grill:::,american,american:::,novato,novato:::,3.3
247,lark creek cafe,lark:::creek:::cafe:::,american,american:::,walnut creek,walnut:::creek:::,3.1
248,the house,the:::house:::,american,american:::,san francisco,san:::francisco:::,3.9
249,sylvias country kitchen,sylvias:::country:::kitchen:::,american,american:::,antioch,antioch:::,2.7
250,spurs,spurs:::,american,american:::,byron,byron:::,2.5
251,bakers square,bakers:::square:::,american,american:::,napa,napa:::,2.0
252,bakers square restaurant & pie shop,bakers:::square:::restaurant:::&:::pie:::shop:::,american,american:::,rohnert park,rohnert:::park:::,2.0
253,bakers square restaurant & pie shop,bakers:::square:::restaurant:::&:::pie:::shop:::,american,american:::,santa rosa,santa:::rosa:::,1.7
254,checkers pizza & frozen yogurt,checkers:::pizza:::&:::frozen:::yogurt:::,american,american:::,santa rosa,santa:::rosa:::,2.0
255,marios family restaurant,marios:::family:::restaurant:::,american,american:::,santa rosa,santa:::rosa:::,2.0
256,union hotel restaurant,union:::hotel:::restaurant:::,american,american:::,sebastopol,sebastopol:::,2.0
